"response_id","experienced_maori","travelled_with_child_under_15","travelled_with_other_above_15","drive_yourself","qtr","country_of_residence_group","gender","first_nz_trip","purpose_of_visit_main","no_days_in_nz","age_range","treated_spend","visited_island","spend_per_day"
"GEN24_1013860","No","No","No","Yes","1","Europe","Male","No","Visiting friends / relatives",31,32,2249.55632,"Both",72.5663329032258
"GEN24_1013869","Yes","No","Yes","Yes","1","Europe","Female","Yes","Holiday / vacation",42,62,12467.43475,"Both",296.84368452381
"GEN24_1013872","No","Yes","Yes","Yes","1","Americas","Female","Yes","Visiting friends / relatives",22,37,1225.005943,"South",55.6820883181818
"GEN24_1013882","No","No","Yes","No","1","Oceania","Female","Yes","Holiday / vacation",33,27,651.6752,"South",19.7477333333333
"GEN24_1013883","Yes","No","Yes","Yes","1","Europe","Male","Yes","Holiday / vacation",31,32,10395.67693,"Both",335.344417096774
"GEN24_1013885","Yes","No","Yes","Yes","1","Europe","Male","No","Visiting friends / relatives",70,27,681.6837333,"Both",9.73833904714286
"GEN24_1013886","No","No","Yes","Yes","1","Oceania","Female","No","Holiday / vacation",14,67,10909.04285,"North",779.217346428571
"GEN24_1013888","No","No","Yes","Yes","1","Oceania","Female","No","Holiday / vacation",17,57,4154.4294,"South",244.3782
"GEN24_1013892","No","No","No","Yes","1","Oceania","Female","No","Visiting friends / relatives",16,37,3855.744933,"South",240.9840583125
"GEN24_1013907","No","No","No","Yes","1","Oceania","Male","No","Visiting friends / relatives",8,77,1100,"Both",137.5
"GEN24_1013911","No","No","No","Yes","1","Europe","Female","No","Business",7,52,3600,"South",514.285714285714
"GEN24_1013912","No","No","No","Yes","1","Oceania","Female","No","Visiting friends / relatives",11,67,2218.954056,"Both",201.723096
"GEN24_1013913","No","No","Yes","No","1","Oceania","Female","No","Visiting friends / relatives",11,37,271.5313333,"North",24.6846666636364
"GEN24_1013926","No","No","Yes","Yes","1","Europe","Female","No","Holiday / vacation",29,62,7285.4949,"South",251.223962068966
"GEN24_1013927","No","No","No","No","1","Europe","Female","No","Visiting friends / relatives",44,62,3095.918933,"Both",70.3617939318182
"GEN24_1013931","Yes","No","Yes","No","1","Europe","Male","Yes","Holiday / vacation",26,32,2646,"Both",101.769230769231
"GEN24_1013932","Yes","No","Yes","Yes","1","Europe","Female","No","Visiting friends / relatives",21,27,8331.879431,"Both",396.756163380952
"GEN24_1013935","Yes","No","Yes","Yes","1","Americas","Male","Yes","Holiday / vacation",16,37,3255.339867,"Both",203.4587416875
"GEN24_1013936","Yes","Yes","Yes","Yes","1","Americas","Female","Yes","Visiting friends / relatives",16,37,4991.758167,"Both",311.9848854375
"GEN24_1013943","No","No","No","No","1","Americas","Female","Yes","Visiting friends / relatives",20,37,3229.961167,"Both",161.49805835
"GEN24_1013946","No","No","No","Yes","1","Americas","Male","No","Business",140,52,10809,"North",77.2071428571429
"GEN24_1013947","No","Yes","No","Yes","1","Americas","Female","No","Visiting friends / relatives",35,42,2160,"Both",61.7142857142857
